"Cod_Capital","DP","DPNOM","Nom_Capital","Year","Poblacion_Mun","Poblacion_Depto","Poblacion_DeptoH","Poblacion_DeptoM","Pob40_Depto","Pob40H_Depto","Pob40M_Depto","Tabaquismo","TabacoTasa","Muertes_H","Muertes_M","Muertes_Total","Tasa_Mort","Muerte_40","Tasa_40_Mort","A - AMBULATORIO","H - HOSPITALARIO","U - EN URGENCIA","N - NO APLICA","Pacientes","patients_rate","Dx_Confirmado","Espiro","Espiro_Tasa","Consulta","ConsultaTasa","Procedimientos","Urgencias","Hospitalizacion","HospitaTasa","total_prevalence","lethality_rate","Espiro_Nal","spirometry_rate","Espiro_Deficit","biomass_stove_usage","multidimensional_poverty_index","pop_over_40_percent","spirometry_score","lethality_score","access_score","bias_index_score","adjustment_factor"
76001,76,"Valle del Cauca","Cali","2021",2271293,4613764,2191808,2421956,1827583,811399,1016184,0.0471794871794872,4717.94871794872,645,510,1155,25.03,1139,62.3227508682232,7516,1016,813,19823,24209,524.712577409681,10545,1664,36.0659973071878,19551,423.753794082229,9011,1056,929,20.135403544698,0.0132464572060476,4770.95295138172,11032,239.110626377942,865.969373622058,0.956,0.31,0.396115405989556,0.783625957959657,0,0,0.783625957959657,1.78362595795966
76001,76,"Valle del Cauca","Cali","2022",2276124,4626064,2196621,2429443,1848092,818771,1029321,0.0584349593495935,5843.49593495935,756,716,1472,31.82,1458,78.8921763635144,5233,874,554,17196,19400,419.36298330503,9308,2320,50.1506248076118,17023,367.980209525852,6347,1024,1243,26.8694942395955,0.0104973129043359,7587.62886597938,17303,374.032871140564,731.047128859436,0.947,0.269,0.399495553887711,0.661533218282329,0,0,0.661533218282329,1.66153321828233
76001,76,"Valle del Cauca","Cali","2023",2280522,4638029,2201719,2436310,1870761,827566,1043195,0.0522875816993464,5228.75816993464,752,647,1399,30.16,1377,73.6064093703044,7037,711,534,17759,20612,444.412917642387,9574,2933,63.2380694471725,17577,378.97563814284,7867,1055,1191,25.679011493891,0.0110179761070495,6787.30836405977,14888,320.998424115071,784.081575884929,0.973,0.306,0.403352587920429,0.709524718468282,0,0,0.709524718468282,1.70952471846828
97001,97,"Vaupés","Mitú","2020",31485,43188,22624,20564,7771,4107,3664,0.1875,18750,2,0,2,4.63,2,25.7367134216961,4,3,6,27,29,67.1482819301658,25,0,0,27,62.5173659349819,11,3,2,4.63091599518385,0.00373182344614593,6896.55172413793,0,0,1105.08,0.264,0.656,0.179934240992868,1,0,0.655367416511019,1.65536741651102,2.65536741651102
97001,97,"Vaupés","Mitú","2021",32301,44378,23217,21161,7977,4216,3761,0.147058823529412,14705.8823529412,0,1,1,2.25,1,12.5360411182149,5,5,5,37,37,83.3746450944162,33,0,0,36,81.1212763080806,9,1,5,11.2668439316779,0.0046383352137395,2702.7027027027,0,0,1105.08,0.201,0.527,0.179751228085989,1,0,0.572087051069326,1.57208705106933,2.57208705106933
97001,97,"Vaupés","Mitú","2022",33167,45579,23824,21755,8205,4333,3872,0.138888888888889,13888.8888888889,2,0,2,4.39,2,24.375380865326,10,6,6,52,57,125.057592312249,48,2,4.38798569516663,52,114.087628074332,15,1,6,13.1639570854999,0.00694698354661792,3508.77192982456,20,43.8798569516663,1061.20014304833,0.225,0.471,0.180017113144211,0.960292596959798,0,0.358153032592778,1.31844562955258,2.31844562955258
97001,97,"Vaupés","Mitú","2023",34037,46777,24433,22344,8435,4453,3982,0.210526315789474,21052.6315789474,5,4,9,19.24,9,106.69828097214,11,6,9,45,46,98.3389272505719,42,2,4.27560553263356,45,96.2011244842551,17,3,4,8.55121106526712,0.00545346769413159,19565.2173913043,35,74.8230968210873,1030.25690317891,0.206,0.557,0.18032366333882,0.932291692166099,1.3019433206783,0.495284204126831,2.72951921697123,3.72951921697123
99001,99,"Vichada","Puerto Carreño","2020",21339,115196,60703,54493,25225,13806,11419,0.0235294117647059,2352.94117647059,7,1,8,6.94,7,27.7502477700694,6,0,0,85,89,77.2596270703844,14,1,0.868085697420049,83,72.0511128858641,6,8,6,5.2085141845203,0.00352824578790882,8988.76404494382,0,0,1105.08,0.275,0.756,0.218974617174207,1,0.0575719625588198,0.60347183708508,1.6610437996439,2.6610437996439
99001,99,"Vichada","Puerto Carreño","2021",21389,118270,62124,56146,26381,14349,12032,0.0344827586206897,3448.27586206897,2,5,7,5.92,7,26.5342481331261,9,0,0,65,68,57.4955610044813,18,0,0,64,54.1134691806883,9,6,5,4.22761477974127,0.00257761267578939,10294.1176470588,4,3.38209182379302,1101.69790817621,0.246,0.648,0.223057411008709,0.996939504991681,0.211153185062763,0.704909147955116,1.91300183800956,2.91300183800956
99001,99,"Vichada","Puerto Carreño","2022",21868,120942,63290,57652,27441,14821,12620,0.0112359550561798,1123.59550561798,5,4,9,7.44,6,21.8650923800153,7,4,2,74,80,66.1474095020754,20,1,0.826842618775942,72,59.5326685518678,11,3,8,6.61474095020754,0.00291534565066871,11250,8,6.61474095020754,1098.46525904979,0.388,0.754,0.226893883018306,0.994014242452847,0.323617409390023,0.660504305210486,1.97813595705336,2.97813595705336
99001,99,"Vichada","Puerto Carreño","2023",22218,123304,64301,59003,28430,15254,13176,0.0333333333333333,3333.33333333333,3,0,3,2.43,3,10.5522335561027,15,3,2,52,61,49.4712255887887,11,0,0,50,40.5501849088432,17,7,5,4.05501849088432,0.00214562082307422,4918.03278688525,13,10.5430480762992,1094.5369519237,0.271,0.654,0.230568351391682,0.990459470738499,0,0.746093335630511,1.73655280636901,2.73655280636901
